wavelength,UnaG ex,UnaG em
402,0.0718,
403,0.0723,
404,0.0731,
405,0.073,
406,0.0747,
407,0.0769,
408,0.0777,
409,0.0816,
410,0.0826,
411,0.0835,
412,0.0853,
413,0.0868,
414,0.0886,
415,0.0911,
416,0.0951,
417,0.0981,
418,0.1011,
419,0.1035,
420,0.1058,
421,0.1093,
422,0.1123,
423,0.1166,
424,0.1198,
425,0.1264,
426,0.1301,
427,0.1355,
428,0.141,
429,0.1461,
430,0.1517,
431,0.1581,
432,0.1626,
433,0.1686,
434,0.1775,
435,0.1865,
436,0.1953,
437,0.1986,
438,0.2038,
439,0.2107,
440,0.2194,
441,0.2248,
442,0.2349,
443,0.244,
444,0.253,
445,0.2607,
446,0.2677,
447,0.276,
448,0.2882,
449,0.3001,
450,0.3131,
451,0.321,
452,0.3316,
453,0.3426,
454,0.3552,
455,0.3698,
456,0.3839,
457,0.3942,
458,0.4134,
459,0.4294,
460,0.4453,
461,0.4583,
462,0.4741,
463,0.489,
464,0.5059,
465,0.5184,
466,0.5318,
467,0.5429,
468,0.5557,
469,0.5703,
470,0.5819,
471,0.5962,
472,0.6088,
473,0.6215,
474,0.6331,
475,0.6468,
476,0.6578,
477,0.6735,
478,0.69,
479,0.7075,
480,0.7198,
481,0.7347,
482,0.7479,
483,0.7678,
484,0.7834,
485,0.803,
486,0.8204,
487,0.8384,
488,0.8558,
489,0.8751,
490,0.8967,
491,0.9139,
492,0.9332,
493,0.9477,
494,0.9584,
495,0.9729,
496,0.9837,
497,0.9938,
498,0.9991,
499,1.0,
500,0.9986,0.1366
501,0.9924,0.1541
502,0.9837,0.1676
503,0.9723,0.2014
504,0.9543,0.2286
505,0.925,0.2614
506,0.8917,0.2981
507,0.8688,0.3348
508,0.8338,0.3755
509,0.7923,0.4262
510,0.7476,0.4667
511,0.7021,0.5127
512,0.6569,0.5666
513,0.625,0.6108
514,0.5845,0.6598
515,0.539,0.7047
516,0.4897,0.747
517,0.4352,0.7968
518,0.4018,0.8328
519,0.3539,0.8686
520,0.3137,0.9016
521,0.2757,0.9279
522,0.2486,0.9498
523,0.2217,0.9702
524,0.1919,0.9823
525,,0.9948
526,,0.9979
527,,1.0
528,,0.9994
529,,0.9968
530,,0.9882
531,,0.9799
532,,0.9687
533,,0.9509
534,,0.9345
535,,0.9171
536,,0.8985
537,,0.8821
538,,0.862
539,,0.8409
540,,0.8237
541,,0.8
542,,0.7838
543,,0.7622
544,,0.7425
545,,0.7229
546,,0.7026
547,,0.6857
548,,0.6663
549,,0.6477
550,,0.6291
551,,0.6135
552,,0.5962
553,,0.5764
554,,0.5573
555,,0.5424
556,,0.5262
557,,0.5083
558,,0.4926
559,,0.4764
560,,0.4606
561,,0.444
562,,0.4269
563,,0.4131
564,,0.3973
565,,0.3814
566,,0.3671
567,,0.3515
568,,0.3394
569,,0.324
570,,0.3122
571,,0.2982
572,,0.2817
573,,0.2711
574,,0.2588
575,,0.2478
576,,0.237
577,,0.226
578,,0.2153
579,,0.2037
580,,0.1947
581,,0.1863
582,,0.1769
583,,0.1672
584,,0.1595
585,,0.1508
586,,0.1439
587,,0.1357
588,,0.1289
589,,0.1198
590,,0.1185
591,,0.112
592,,0.1064
593,,0.1024
594,,0.0967
595,,0.0912
596,,0.0871
597,,0.0833
598,,0.077
599,,0.0741
600,,0.0709
601,,0.0662
602,,0.0631
603,,0.0606
604,,0.0556
605,,0.0543
606,,0.0521
607,,0.0483
608,,0.0457
609,,0.044
610,,0.0426
611,,0.0387
612,,0.0352
613,,0.0341
614,,0.0327
615,,0.0306
616,,0.0298
617,,0.0274
618,,0.0246
619,,0.0251
620,,0.025
621,,0.025
622,,0.0233
623,,0.0225
624,,0.0215
625,,0.0216
626,,0.0198
627,,0.0198
628,,0.0198
629,,0.018
630,,0.0181
631,,0.0163
632,,0.0164
633,,0.0153
634,,0.0147
635,,0.0146
636,,0.0138
637,,0.0129
638,,0.0129
639,,0.0113
640,,0.0103
641,,0.0103
642,,0.0103
643,,0.0103
644,,0.0103
645,,0.01
646,,0.0093
647,,0.0086
648,,0.0087
