wavelength,mScarlet-I ex,mScarlet-I em
384,0.0122,
385,0.012,
386,0.0117,
387,0.0115,
388,0.0114,
389,0.0113,
390,0.0113,
391,0.0113,
392,0.0113,
393,0.0115,
394,0.0116,
395,0.0118,
396,0.012,
397,0.0123,
398,0.0125,
399,0.0128,
400,0.0131,
401,0.0134,
402,0.0138,
403,0.0141,
404,0.0144,
405,0.0148,
406,0.0151,
407,0.0154,
408,0.0157,
409,0.0159,
410,0.0162,
411,0.0164,
412,0.0166,
413,0.0168,
414,0.0169,
415,0.0169,
416,0.017,
417,0.0169,
418,0.0169,
419,0.0167,
420,0.0165,
421,0.0162,
422,0.0159,
423,0.0155,
424,0.0151,
425,0.0146,
426,0.0141,
427,0.0136,
428,0.0131,
429,0.0127,
430,0.0124,
431,0.0121,
432,0.0119,
433,0.0118,
434,0.0117,
435,0.0118,
436,0.012,
437,0.0122,
438,0.0126,
439,0.013,
440,0.0134,
441,0.014,
442,0.0146,
443,0.0153,
444,0.016,
445,0.0168,
446,0.0177,
447,0.0186,
448,0.0196,
449,0.0206,
450,0.0217,
451,0.0228,
452,0.0239,
453,0.0251,
454,0.0263,
455,0.0276,
456,0.0288,
457,0.0301,
458,0.0315,
459,0.0328,
460,0.0342,
461,0.0356,
462,0.0371,
463,0.0385,
464,0.0401,
465,0.0416,
466,0.0432,
467,0.0449,
468,0.0467,
469,0.0486,
470,0.0506,
471,0.0527,
472,0.055,
473,0.0574,
474,0.06,
475,0.0628,
476,0.0657,
477,0.0689,
478,0.0722,
479,0.0757,
480,0.0794,
481,0.0833,
482,0.0873,
483,0.0915,
484,0.0959,
485,0.1004,
486,0.105,
487,0.1098,
488,0.1147,
489,0.1198,
490,0.125,
491,0.1303,
492,0.1357,
493,0.1411,
494,0.1466,
495,0.1519,
496,0.157,
497,0.1618,
498,0.1663,
499,0.1704,
500,0.1742,
501,0.1779,
502,0.1818,
503,0.1862,
504,0.1914,
505,0.1975,
506,0.2044,
507,0.2118,
508,0.2195,
509,0.2275,
510,0.2354,
511,0.2434,
512,0.2512,
513,0.2591,
514,0.2672,
515,0.276,
516,0.2858,
517,0.297,
518,0.3097,
519,0.3237,
520,0.339,
521,0.355,
522,0.3715,
523,0.3882,
524,0.4045,
525,0.4202,
526,0.4348,
527,0.4478,
528,0.4591,
529,0.4686,
530,0.4762,
531,0.4823,
532,0.4867,
533,0.4898,
534,0.4917,
535,0.4928,
536,0.4933,
537,0.4937,
538,0.4945,
539,0.4956,0.0047
540,0.4971,0.0041
541,0.4989,0.0038
542,0.5013,0.0039
543,0.5047,0.0043
544,0.5094,0.005
545,0.5156,0.0061
546,0.5234,0.0076
547,0.5327,0.0093
548,0.5431,0.0113
549,0.5547,0.0137
550,0.568,0.0165
551,0.5825,0.0197
552,0.5978,0.0234
553,0.6142,0.0274
554,0.6325,0.0319
555,0.6534,0.0368
556,0.6766,0.0422
557,0.7015,0.0481
558,0.7282,0.0548
559,0.7574,0.0625
560,0.7882,0.0721
561,0.8193,0.0838
562,0.8502,0.098
563,0.8803,0.1148
564,0.9089,0.1343
565,0.9343,0.1569
566,0.9558,0.1832
567,0.9732,0.2131
568,0.9877,0.2466
569,0.9974,0.2836
570,1.0,0.3237
571,0.996,0.3663
572,0.987,0.4111
573,0.9731,0.4579
574,0.9519,0.506
575,0.9236,0.5541
576,0.8915,0.6015
577,0.8548,0.6473
578,0.8117,0.6912
579,0.7637,0.7332
580,0.7129,0.7729
581,0.6614,0.8101
582,0.6109,0.8443
583,0.5608,0.8754
584,0.5118,0.903
585,0.4658,0.9269
586,0.4231,0.9475
587,0.3828,0.9646
588,0.3443,0.978
589,0.3092,0.9878
590,0.2786,0.9945
591,0.2499,0.9985
592,0.2217,1.0
593,0.1959,0.9994
594,0.1731,0.997
595,0.1531,0.993
596,0.1354,0.9876
597,0.1198,0.9809
598,0.1058,0.973
599,0.0931,0.9643
600,0.0817,0.9549
601,0.0716,0.9449
602,0.0629,0.9344
603,0.0556,0.9235
604,0.0498,0.9123
605,0.0449,0.9008
606,0.0407,0.8888
607,0.0368,0.8764
608,0.0332,0.8637
609,0.0298,0.8507
610,0.0267,0.8375
611,0.024,0.8243
612,0.0216,0.8113
613,0.0194,0.7986
614,0.0176,0.7866
615,0.016,0.7751
616,0.0146,0.7643
617,0.0133,0.7542
618,0.0122,0.7445
619,0.0112,0.7351
620,0.0103,0.7258
621,0.0094,0.7164
622,0.0087,0.7068
623,0.008,0.6968
624,0.0074,0.6864
625,0.0069,0.6757
626,0.0064,0.6647
627,0.0061,0.6535
628,0.0059,0.6423
629,0.0057,0.6312
630,0.0057,0.6202
631,0.0057,0.6094
632,0.0057,0.5988
633,0.0058,0.5885
634,0.0059,0.5784
635,0.006,0.5685
636,0.006,0.5587
637,0.006,0.549
638,0.0058,0.5391
639,0.0056,0.529
640,0.0053,0.5187
641,0.005,0.5081
642,0.0046,0.4972
643,0.0041,0.4862
644,0.0035,0.475
645,,0.4639
646,,0.453
647,,0.4424
648,,0.4321
649,,0.4223
650,,0.4128
651,,0.4036
652,,0.3947
653,,0.3858
654,,0.377
655,,0.3681
656,,0.3592
657,,0.3503
658,,0.3415
659,,0.3328
660,,0.3242
661,,0.3158
662,,0.3076
663,,0.2996
664,,0.2918
665,,0.2842
666,,0.2767
667,,0.2694
668,,0.2623
669,,0.2553
670,,0.2484
671,,0.2416
672,,0.2351
673,,0.2287
674,,0.2224
675,,0.2164
676,,0.2105
677,,0.2047
678,,0.1991
679,,0.1937
680,,0.1884
681,,0.1832
682,,0.1781
683,,0.1732
684,,0.1685
685,,0.164
686,,0.1598
687,,0.1559
688,,0.1523
689,,0.1491
690,,0.1461
691,,0.1432
692,,0.1405
693,,0.1377
694,,0.1349
695,,0.1319
696,,0.1288
697,,0.1255
698,,0.1221
699,,0.1187
700,,0.1154
701,,0.1121
702,,0.109
703,,0.1061
704,,0.1033
705,,0.1007
706,,0.0982
707,,0.0959
708,,0.0936
709,,0.0913
710,,0.0891
711,,0.0868
712,,0.0845
713,,0.0822
714,,0.0798
715,,0.0774
716,,0.075
717,,0.0726
718,,0.0702
719,,0.068
720,,0.0658
721,,0.0638
722,,0.062
723,,0.0603
724,,0.0588
725,,0.0574
726,,0.0562
727,,0.0551
728,,0.054
729,,0.053
730,,0.052
731,,0.0509
732,,0.0497
733,,0.0484
734,,0.0469
735,,0.0453
736,,0.0436
737,,0.0417
738,,0.0396
739,,0.0375
740,,0.0353
741,,0.0331
742,,0.031
743,,0.029
744,,0.0271
745,,0.0254
746,,0.0238
747,,0.0225
748,,0.0213
749,,0.0203
750,,0.0194
751,,0.0187
752,,0.0182
753,,0.0177
754,,0.0173
755,,0.0169
756,,0.0166
757,,0.0163
758,,0.016
759,,0.0156
760,,0.0152
761,,0.0147
762,,0.0141
763,,0.0134
764,,0.0126
765,,0.0118
766,,0.011
767,,0.01
